name,price
Arizona Green Iced Tea ,3.4
Arizona Ice Tea With Peach,2
Arizona Iced Tea Peach ,3.4
Fuze Ice Tea Mango,3.3
Lipton Ice Green Tea Light Lemon,3.95
Ito En Oi Ocha Green Tea Unsweetened,2.5
Lipton Ice Tea Lemon,1.9
Lipton Light Peach Ice Tea,1.9
Lipton Ice Tea Peach,3.95
Calbee Harvest Snaps Chilli,2.5
Burger Rings Bag ,1
Haribo Gold Bears ,2.4
Coca-cola No Sugar Mini Cans,7.2
Mount Franklin Pure Spring Water,9.2
Calbee Harvest Snaps Original Salted,3.5
Pringles Sour Cream And Onion Chips,3
Lipton Ice Tea Lemon,3.95
Chobani Greek Yoghurt Limited Edition,1.8
Doritos Cheese Supreme ,1.05
Lipton Ice Tea Peach,3.95
Pringles Sour Cream And Onion Chips,3
Golden Circle Sunshine Punch Fruit Drink,2.25
 Pak Choy Baby Asian Greens ,2.5
Doritos Cheese Supreme Party Size ,5
